Cycle,Tem,电压(V),电流(A),放电容量(Ah)
9960,30.2,3.6501,12.9954,12.7598
9990,30.5,3.65,12.9979,12.7598
10020,30.8,3.65,12.9994,12.7595
10050,31.1,3.6501,13.0042,12.7591
10080,30.9,3.6501,12.9953,12.7555
10110,30.5,3.6501,13.0094,12.7531
10140,30.3,3.65,13.002,12.7514
10170,30.1,3.65,13.0004,12.7496
10200,30.1,3.65,13.0009,12.7488
10230,30.5,3.6501,12.9952,12.748
10260,30.8,3.65,12.9958,12.7475
10290,31.2,3.65,12.9957,12.7476
10320,31.3,3.6501,13.0003,12.7462
10350,30.9,3.6501,12.9983,12.7445
10380,31.1,3.6501,13.0023,12.7452
10410,31.4,3.65,12.9993,12.7478
10440,31.1,3.65,12.9957,12.7445
10470,30.9,3.65,12.9975,12.7424
10500,30.7,3.6501,12.9984,12.7414
10530,30.7,3.6501,12.9995,12.7392
10560,30.9,3.6501,12.9997,12.7388
10590,31.2,3.65,13.0057,12.7379
10620,31.3,3.6501,12.9972,12.735
10650,31.4,3.65,12.996,12.7336
10680,31.0,3.65,12.9984,12.731
10710,30.9,3.6502,13.0078,12.7288
10740,30.8,3.65,12.9964,12.7271
10770,30.8,3.65,12.9967,12.726
10800,30.8,3.6501,12.9967,12.7239
10830,31.0,3.6501,12.9977,12.7236
10860,31.0,3.65,12.9963,12.7223
10890,31.0,3.6501,12.9934,12.7195
10920,30.7,3.65,12.9979,12.7179
10950,30.4,3.6501,12.9961,12.7164
10980,30.4,3.65,12.9989,12.7142
11010,30.4,3.65,12.9973,12.7136
11040,30.5,3.6502,13.0011,12.7119
11070,30.9,3.65,12.9967,12.7111
11100,30.7,3.65,12.9981,12.709
11130,30.7,3.65,12.9958,12.7075
11160,30.4,3.65,12.9943,12.7046
11190,30.2,3.6501,12.9964,12.704
11220,30.1,3.6501,12.9973,12.7023
11250,30.1,3.6501,12.9993,12.7008
11280,30.4,3.65,13.007,12.7001
11310,30.7,3.65,13.0107,12.6983
11340,30.0,3.65,12.9941,12.6956
11370,30.0,3.6502,13.0,12.695
11400,29.7,3.6501,12.9957,12.6922
11430,29.5,3.6501,12.9942,12.6904
11460,29.5,3.6501,12.9995,12.689
11490,29.4,3.65,13.0084,12.6875
11520,29.8,3.6501,12.997,12.6871
11550,30.0,3.6501,12.9962,12.6856
11580,30.2,3.65,12.9934,12.6851
11610,30.1,3.65,12.9941,12.6827
11640,29.7,3.65,12.9938,12.6799
11670,29.6,3.65,13.0082,12.6792
11700,29.5,3.6502,13.0022,12.6767
11730,29.6,3.6501,12.9985,12.6759
11760,29.9,3.6501,12.9968,12.6754
11790,30.2,3.65,12.9933,12.6749
11820,30.5,3.6501,12.9932,12.6741
11850,30.3,3.65,12.9972,12.6713
11880,30.1,3.65,13.0033,12.6698
11910,29.9,3.6501,12.9961,12.6677
11940,29.8,3.6501,12.9994,12.6667
11970,30.0,3.65,12.9953,12.6649
12000,30.2,3.6501,12.996,12.6637
12030,30.5,3.6502,13.0035,12.6634
12060,30.8,3.6501,12.9962,12.6625
12090,30.4,3.65,12.9962,12.6595
12120,30.3,3.65,12.9959,12.6573
12150,30.3,3.6501,12.996,12.6557
12180,30.2,3.65,12.9944,12.6545
12210,30.3,3.65,12.9932,12.654
12240,30.4,3.6501,12.9943,12.6525
12270,30.8,3.6501,12.9971,12.652
12300,31.2,3.6501,12.994,12.6509
12330,30.7,3.6501,12.9925,12.6482
12360,30.6,3.6502,13.0003,12.6464
12390,30.5,3.65,12.9949,12.6449
12420,30.3,3.6501,12.9943,12.6433
12450,30.4,3.65,13.001,12.6429
12480,30.6,3.6501,12.9938,12.6418
12510,31.0,3.65,12.9932,12.6403
12540,30.2,3.6501,12.994,12.6366
12570,30.0,3.65,12.9942,12.6358
12600,29.9,3.6501,13.0044,12.6341
12630,29.8,3.65,12.9942,12.6318
12660,29.7,3.65,12.9953,12.6307
12690,30.0,3.6502,13.004,12.6307
12720,30.4,3.65,13.0016,12.6292
12750,30.4,3.65,12.995,12.6286
12780,30.2,3.65,12.9951,12.6257
12810,30.0,3.65,12.9947,12.6237
12840,29.8,3.65,12.9954,12.6227
12870,29.6,3.65,12.9963,12.621
12900,29.6,3.65,13.0114,12.6195
12930,29.9,3.6501,12.9939,12.6184
12960,30.0,3.6501,12.9925,12.6177
12990,30.3,3.6501,12.9938,12.6172
13020,30.5,3.6502,13.0005,12.6154
13050,30.1,3.6501,12.9943,12.613
13080,29.9,3.6501,13.0041,12.6116
13110,29.8,3.65,12.9966,12.6099
13140,29.8,3.65,12.9932,12.6087
13170,30.0,3.65,12.9961,12.608
13200,30.2,3.6501,12.9926,12.6068
13230,30.3,3.65,12.9948,12.6057
13260,30.2,3.6501,12.9945,12.6036
13290,30.0,3.65,12.9936,12.6014
13320,29.8,3.65,12.9932,12.5992
13350,29.6,3.6501,12.9999,12.5979
13380,29.5,3.6501,13.0008,12.5967
13410,29.9,3.6501,12.9931,12.5967
13440,30.1,3.6501,12.9974,12.5954
13470,30.1,3.65,12.9965,12.5948
13500,30.2,3.65,12.9974,12.593
13530,29.9,3.65,12.9969,12.591
13560,29.7,3.65,12.9952,12.5892
13590,29.6,3.6501,12.995,12.5878
13620,29.6,3.6501,12.9978,12.5867
13650,29.8,3.6501,12.9938,12.5862
13680,30.1,3.65,12.9933,12.5855
13710,30.4,3.6502,13.005,12.5836
13740,30.2,3.65,13.0001,12.5821
13770,30.0,3.6501,12.9967,12.5802
13800,29.8,3.65,12.9962,12.5788
13830,29.8,3.6501,12.9954,12.5773
13860,29.7,3.6501,13.0053,12.5755
13890,30.0,3.6501,13.0067,12.5748
13920,30.5,3.65,12.9973,12.5743
13950,29.9,3.65,12.9949,12.5717
13980,29.4,3.65,12.9969,12.5681
14010,29.2,3.6501,12.9956,12.5665
14040,29.0,3.6502,13.0089,12.5646
14070,28.8,3.6501,12.9937,12.5632
14100,28.7,3.6501,12.9947,12.5622
14130,28.8,3.6501,12.9961,12.5601
14160,28.7,3.65,12.9956,12.5593
14190,28.8,3.65,12.9957,12.5578
14220,28.5,3.65,13.0,12.5568
14250,28.4,3.6501,12.9938,12.5558
14280,28.4,3.6501,13.0001,12.554
14310,28.2,3.65,12.9938,12.5527
14340,28.2,3.65,12.9948,12.552
14370,28.3,3.6502,13.0002,12.551
14400,28.3,3.6501,12.9945,12.5499
14430,28.0,3.65,12.9951,12.5489
14460,27.9,3.65,12.9944,12.5471
14490,27.8,3.65,12.9969,12.5461
14520,27.6,3.65,12.9956,12.544
14550,27.4,3.6501,12.9937,12.5427
14580,27.4,3.65,12.9973,12.5418
14610,27.9,3.65,12.9986,12.5424
14640,28.3,3.65,12.9963,12.5406
14670,28.2,3.6501,12.995,12.5393
14700,27.7,3.6501,13.0057,12.5372
14730,27.6,3.65,12.9946,12.5357
14760,27.5,3.65,12.996,12.5351
14790,27.4,3.6501,12.9969,12.5333
14820,27.6,3.6501,12.9953,12.5332
14850,27.9,3.6501,12.9974,12.5325
14880,28.1,3.65,12.9934,12.5303
14910,28.5,3.65,12.9955,12.5306
14940,27.9,3.6501,12.9958,12.5275
14970,27.7,3.65,12.9944,12.5268
15000,27.5,3.6501,12.9935,12.5253
15030,27.6,3.6501,13.0023,12.5238
15060,27.8,3.65,12.9941,12.5234
15090,28.0,3.6501,12.9951,12.5227
15120,28.1,3.65,12.9955,12.5226
15150,28.3,3.65,13.0059,12.5219
15180,28.1,3.6501,12.9998,12.5198
15210,28.0,3.6501,12.9965,12.5181
15240,28.0,3.6501,12.9968,12.5176
15270,28.0,3.6501,12.9962,12.5158
15300,28.1,3.65,13.0,12.5154
15330,28.5,3.6501,12.9943,12.5145
15360,28.8,3.6501,13.0013,12.5137
15390,28.5,3.6501,12.994,12.5109
15420,28.1,3.65,12.9973,12.5095
15450,28.0,3.65,12.9966,12.5084
15480,28.1,3.65,12.9962,12.5073
15510,28.0,3.65,12.9947,12.5062
15540,28.2,3.6501,12.9949,12.506
15570,28.4,3.65,12.9966,12.5051
15600,28.7,3.6501,12.9976,12.5044
15630,28.9,3.6501,12.9991,12.5025
15660,28.5,3.6501,12.9963,12.5014
15690,28.5,3.6501,13.0015,12.4997
15720,28.4,3.6501,12.9931,12.4992
15750,28.4,3.65,12.9954,12.497
15780,28.6,3.6501,12.996,12.4972
15810,28.9,3.65,12.9969,12.4976
15840,29.1,3.65,12.9987,12.4961
15870,28.8,3.6501,12.9938,12.4936
15900,28.8,3.65,12.9963,12.4924
15930,28.7,3.65,12.9941,12.491
15960,28.7,3.65,12.9967,12.4893
15990,28.5,3.6501,12.9943,12.4883
16020,28.7,3.6501,13.0007,12.4887
16050,29.0,3.6501,12.9959,12.4878
16080,29.2,3.6501,12.9943,12.4868
16110,29.0,3.6501,12.9938,12.4861
16140,28.8,3.6501,13.0036,12.4837
16170,28.6,3.6501,13.0025,12.4818
16200,28.7,3.6501,12.9953,12.4811
16230,28.7,3.65,12.9952,12.4807
16260,28.9,3.6501,12.9947,12.4802
16290,29.1,3.65,12.9947,12.4784
16320,29.2,3.65,12.995,12.4772
16350,29.3,3.6501,13.0012,12.4751
16380,28.9,3.65,12.9945,12.473
16410,28.7,3.6501,12.9957,12.4717
16440,28.6,3.6501,12.9967,12.4707
16470,28.5,3.65,12.9958,12.4696
16500,28.8,3.6501,12.9961,12.4691
16530,29.1,3.65,12.9955,12.4686
16560,29.4,3.6501,12.9956,12.4678
16590,29.3,3.6501,12.9952,12.4661
16620,29.0,3.65,12.9955,12.4641
16650,28.7,3.6501,12.995,12.4622
16680,28.6,3.65,12.9995,12.4612
16710,28.5,3.6501,13.0003,12.4601
16740,28.8,3.6501,12.9938,12.4602
16770,29.1,3.6501,12.9944,12.4605
16800,29.3,3.6501,12.997,12.4594
16830,29.3,3.65,12.9961,12.4567
16860,28.7,3.65,12.9951,12.455
16890,28.6,3.6501,12.9963,12.4536
16920,28.5,3.6501,12.9983,12.4521
16950,28.5,3.65,12.9957,12.451
16980,28.8,3.65,12.9959,12.4504
17010,26.7,3.6501,12.995,12.4447
17040,25.6,3.6502,13.0001,12.4428
17070,25.1,3.65,12.9948,12.4401
17100,24.3,3.6501,12.9938,12.4385
17130,24.3,3.65,12.9952,12.4375
17160,24.2,3.65,12.9957,12.4361
17190,24.1,3.65,12.9957,12.4356
17220,24.1,3.6501,12.9953,12.4342
17250,24.4,3.6501,12.994,12.4341
17280,24.7,3.6501,12.9961,12.433
17310,24.1,3.65,12.9938,12.4311
17340,23.7,3.6501,12.9953,12.4292
17370,23.5,3.6501,13.0005,12.4285
17400,23.5,3.6501,13.0005,12.4281
17430,23.5,3.65,12.9942,12.427
17460,23.8,3.65,12.9954,12.4257
17490,24.1,3.65,13.0022,12.4272
17520,26.8,3.65,12.9994,12.428
17550,27.0,3.65,12.9976,12.4256
17580,26.7,3.6501,12.9955,12.4265
17610,27.0,3.6501,12.9999,12.4256
17640,27.2,3.6501,12.9957,12.4252
17670,27.3,3.65,12.9966,12.4247
17700,27.7,3.6501,13.002,12.4241
17730,27.9,3.6501,12.9942,12.4237
17760,27.9,3.65,12.9951,12.4222
17790,27.9,3.6501,12.9967,12.4194
17820,27.4,3.6501,12.9957,12.418
17850,27.2,3.65,12.9978,12.4158
17880,27.1,3.65,12.9973,12.4151
17910,27.2,3.65,12.994,12.4139
17940,27.5,3.6501,12.9951,12.4143
17970,27.9,3.65,12.995,12.4135
18000,27.8,3.6501,12.9943,12.4121
18030,27.7,3.6502,13.0012,12.411
18060,27.6,3.65,12.994,12.41
18090,27.5,3.65,12.9956,12.4081
18120,27.4,3.65,12.9975,12.4074
18150,27.5,3.6501,13.0033,12.4063
18180,27.8,3.65,12.9963,12.4059
18210,27.9,3.65,12.9973,12.4055
18240,28.0,3.65,12.9972,12.4035
18270,27.6,3.65,12.9963,12.4006
18300,24.1,3.65,12.9952,12.3978
18330,26.2,3.65,12.9954,12.3984
18360,26.8,3.6501,13.0006,12.3978
18390,27.0,3.6501,12.995,12.3974
18420,27.4,3.65,12.9939,12.398
18450,27.6,3.65,12.9962,12.3972
18480,27.8,3.65,12.9939,12.3965
18510,27.7,3.65,13.0029,12.3946
18540,27.4,3.6501,12.9972,12.393
18570,27.3,3.65,12.9962,12.3913
18600,27.1,3.65,12.9952,12.3909
18630,27.0,3.65,12.9942,12.3895
18660,27.6,3.65,12.9938,12.3901
18690,27.9,3.6501,13.0047,12.389
18720,28.2,3.65,12.9957,12.3886
18750,28.1,3.6501,12.9962,12.3872
18780,27.9,3.65,12.9968,12.385
18810,27.8,3.65,12.9949,12.3835
18840,27.7,3.6501,12.9957,12.3824
18870,27.7,3.6501,12.9978,12.3823
18900,28.0,3.6501,12.9963,12.3815
18930,28.5,3.6501,12.9983,12.3804
18960,28.7,3.6501,12.9951,12.38
18990,28.5,3.6501,13.0032,12.3783
19020,28.2,3.6501,13.0027,12.377
19050,28.2,3.65,12.997,12.3752
19080,28.1,3.6501,12.995,12.3741
19110,28.1,3.65,12.9954,12.3737
19140,28.4,3.65,12.9973,12.3331
19170,24.3,3.65,12.9973,12.3506
19200,26.6,3.6501,12.9952,12.3593
19230,26.8,3.65,12.9958,12.364
19260,26.9,3.6501,12.9969,12.3665
19290,26.8,3.6501,12.9965,12.3691
19320,26.9,3.6501,12.9978,12.3695
19350,26.7,3.6501,13.0,12.3695
19380,26.8,3.6501,12.9947,12.3693
19410,26.9,3.6501,12.9977,12.3638
19440,23.5,3.6501,12.9958,12.3585
19470,23.0,3.6501,12.9962,12.3586
19500,23.1,3.6501,12.9969,12.3641
19530,25.4,3.65,12.9961,12.364
19560,25.7,3.65,12.997,12.3636
19590,25.9,3.6501,12.9948,12.3624
