Cycle,Tem,电压(V),电流(A),放电容量(Ah)
9840,25.9,3.9,13.0075,12.0883
9870,26.2,3.9002,12.9941,12.0895
9900,26.0,3.9003,12.9952,12.0905
9930,25.8,3.9002,13.0049,12.0901
9960,25.8,3.9,12.9961,12.086
9990,25.8,3.9,12.9937,12.086
10020,25.9,3.9001,12.9967,12.0859
10050,25.9,3.9001,12.9991,12.0986
10080,26.0,3.9003,13.0108,12.1026
10110,26.1,3.9002,12.9939,12.1128
10140,26.3,3.9002,12.9939,12.1168
10170,26.2,3.9001,12.9935,12.119
10200,26.1,3.9001,13.0105,12.1147
10230,26.1,3.9002,13.0089,12.1198
10260,26.1,3.9001,13.0054,12.1172
10290,26.0,3.9002,13.0016,12.1169
10320,26.1,3.9,12.9986,12.123
10350,26.6,3.9001,12.9935,12.1175
10380,27.0,3.9001,12.9987,12.1102
10410,26.8,3.9002,12.9939,12.1077
10440,26.7,3.9001,12.9932,12.108
10470,26.6,3.9001,13.0032,12.1802
10500,26.5,3.9,12.9965,12.1046
10530,26.4,3.9001,12.998,12.1216
10560,26.3,3.9001,12.9978,12.1086
10590,26.6,3.9001,13.0036,12.1105
10620,26.7,3.9,13.004,12.1109
10650,25.9,3.9001,13.0067,12.1059
10680,26.6,3.9003,13.0051,12.1024
10710,26.6,3.9001,13.0021,12.1195
10740,26.8,3.9001,12.9931,12.128
10770,26.6,3.9001,12.9943,12.1309
10800,26.5,3.9001,12.9976,12.1327
10830,26.6,3.9001,12.9934,12.135
10860,26.9,3.9002,12.9929,12.1334
10890,27.3,3.9001,12.9931,12.1346
10920,27.5,3.9001,12.9927,12.1296
10950,27.3,3.9002,12.9931,12.1259
10980,27.0,3.9,12.9937,12.1247
11010,27.0,3.9001,12.9933,12.1237
11040,27.0,3.9001,13.0002,12.1219
11070,27.0,3.9001,12.9932,12.1222
11100,27.0,3.9002,12.9928,12.1244
11130,27.4,3.9002,12.9953,12.1283
11160,27.6,3.9003,12.9927,12.1302
11190,27.5,3.9002,12.9925,12.1405
11220,27.3,3.9001,12.9924,12.1374
11250,27.2,3.9001,12.9928,12.1411
11280,27.3,3.9002,12.9931,12.1429
11310,27.2,3.9001,12.9985,12.144
11340,27.1,3.9001,12.9928,12.1398
11370,27.3,3.9001,12.9979,12.147
11400,27.6,3.9001,12.9923,12.1495
11430,27.9,3.9001,12.9926,12.1523
11460,27.9,3.9002,12.9926,12.1613
11490,27.5,3.9002,12.9926,12.1602
11520,27.4,3.9001,12.9929,12.1634
11550,27.4,3.9001,12.9933,12.1739
11580,27.5,3.9,13.0128,12.1837
11610,27.5,3.9001,13.0034,12.1856
11640,27.6,3.9001,12.9938,12.1884
11670,27.4,3.9001,12.9981,12.189
11700,27.3,3.9001,13.0086,12.1902
11730,27.3,3.9001,12.9939,12.1869
11760,27.0,3.9002,12.9966,12.1833
11790,27.0,3.9002,12.9952,12.1823
11820,26.8,3.9002,12.9949,12.1882
11850,26.9,3.9001,12.9989,12.1827
11880,27.0,3.9001,12.9952,12.1835
11910,27.1,3.9002,12.994,12.1886
11940,27.3,3.9002,12.994,12.1852
11970,27.2,3.9,12.9943,12.1853
12000,26.7,3.9001,12.9985,12.1857
12030,26.6,3.9,13.0049,12.1871
12060,26.7,3.9002,12.9939,12.1871
12090,26.6,3.9001,13.0085,12.1879
12120,26.4,3.9002,13.0001,12.193
12150,26.9,3.9002,12.9953,12.1938
12180,27.1,3.9002,12.9954,12.1973
12210,27.1,3.9001,12.9937,12.1916
12240,26.8,3.9001,12.994,12.1931
12270,26.6,3.9002,12.9935,12.1923
12300,26.5,3.9003,12.9996,12.1934
12330,26.5,3.9,13.0112,12.1953
12360,26.5,3.9001,13.0017,12.2098
12390,26.4,3.9001,12.9939,12.1976
12420,26.8,3.9,13.0126,12.2015
12450,27.0,3.9,12.994,12.1994
12480,26.8,3.9003,12.9939,12.1979
12510,26.7,3.9002,13.011,12.1954
12540,26.7,3.9001,12.9972,12.1943
12570,26.6,3.9002,13.0032,12.1944
12600,26.5,3.9,13.0067,12.1951
12630,26.4,3.9,13.014,12.1965
12660,26.6,3.9002,12.9936,12.1971
12690,26.7,3.9,13.0005,12.1977
12720,26.8,3.9002,13.0046,12.1977
12750,26.4,3.9001,13.0028,12.1988
12780,26.1,3.9,12.9932,12.1973
12810,25.9,3.9001,12.9929,12.1963
12840,25.8,3.9001,12.9928,12.1956
12870,25.7,3.9003,12.9927,12.1957
12900,25.7,3.9001,12.993,12.1975
12930,25.9,3.9002,12.9931,12.1992
12960,26.1,3.9001,13.0102,12.201
12990,26.2,3.9001,12.9962,12.2021
13020,25.7,3.9,12.9996,12.2032
13050,25.3,3.9002,12.9941,12.1963
13080,25.4,3.9,12.9931,12.1963
13110,25.3,3.9,12.993,12.1944
13140,25.3,3.9002,12.993,12.194
13170,25.4,3.9001,12.9934,12.194
13200,25.8,3.9002,13.0051,12.1951
13230,25.6,3.9002,12.994,12.1978
13260,25.5,3.9001,12.9935,12.1939
13290,25.2,3.9,12.9936,12.1923
13320,25.2,3.9,13.0108,12.1909
13350,25.2,3.9,12.9968,12.1963
13380,25.2,3.9001,13.0081,12.1909
13410,25.1,3.9,12.9964,12.1925
13440,25.1,3.9,12.9965,12.1933
13470,25.2,3.9002,12.9929,12.1896
13500,25.1,3.9,12.9927,12.1851
13530,25.0,3.9002,12.9922,12.1848
13560,24.9,3.9002,12.9923,12.1841
13590,24.8,3.9,12.992,12.1812
