date,Tem,电压(V),电流(A),放电容量(Ah)
6990,30.1,3.9002,13.0086,12.1208
7020,30.0,3.9002,13.0073,12.1204
7050,30.0,3.9001,13.0049,12.12
7080,30.2,3.9001,13.0081,12.1193
7110,30.4,3.9001,13.0074,12.1179
7140,30.2,3.9,13.0075,12.1157
7170,30.0,3.9001,13.0106,12.1128
7200,29.8,3.9002,13.0124,12.1099
7230,29.7,3.9001,13.0073,12.1085
7260,29.6,3.9001,13.0071,12.1066
7290,29.4,3.9001,13.0074,12.1059
7320,29.6,3.9,13.0079,12.1058
7350,29.8,3.9001,13.0074,12.1048
7380,29.7,3.9001,13.0035,12.1035
7410,29.6,3.9001,13.0102,12.1009
7440,29.6,3.9,13.0079,12.0986
7470,29.5,3.9,13.0075,12.0971
7500,29.5,3.9002,13.0085,12.0956
7530,29.3,3.9001,13.0079,12.0941
7560,29.3,3.9001,13.0097,12.0927
7590,29.5,3.9001,13.0077,12.0919
7620,29.6,3.9001,13.0076,12.0917
7650,29.6,3.9002,13.0076,12.0888
7680,29.5,3.9,13.0108,12.0862
7710,29.4,3.9001,13.004,12.0855
7740,29.4,3.9002,13.0072,12.084
7770,29.3,3.9,13.0081,12.0822
7800,29.4,3.9001,13.0103,12.0819
7830,29.6,3.9001,13.0081,12.0821
7860,29.9,3.9002,13.0079,12.0814
7890,30.2,3.9002,13.0072,12.0807
7920,30.2,3.9001,13.0079,12.0785
7950,29.9,3.9002,13.0076,12.0759
7980,29.7,3.9002,13.0081,12.0737
8010,29.6,3.9001,13.0072,12.0721
8040,29.6,3.9001,13.0116,12.0723
8070,29.8,3.9002,13.0113,12.0719
8100,30.0,3.9,13.0138,12.0706
8130,30.2,3.9,13.0073,12.0703
8160,30.8,3.9001,13.0075,12.0697
8190,30.2,3.9001,13.008,12.0667
8220,30.0,3.9002,13.0123,12.0648
8250,29.9,3.9002,13.0081,12.0626
8280,29.8,3.9,13.0077,12.0615
8310,29.9,3.9,13.008,12.062
8340,30.0,3.9001,13.0129,12.0609
8370,30.2,3.9,13.0046,12.0609
8400,30.4,3.9001,13.0081,12.0596
8430,30.1,3.9001,13.0071,12.0573
8460,29.9,3.9002,13.0071,12.0543
8490,29.8,3.9001,13.008,12.0525
8520,29.7,3.9002,13.0073,12.0506
8550,29.7,3.9002,13.0076,12.0492
8580,29.9,3.9002,13.0079,12.0496
8610,30.1,3.9001,13.0098,12.0486
8640,30.2,3.9001,13.008,12.05
8670,30.4,3.9,13.0076,12.0467
8700,30.0,3.9001,13.0037,12.0431
8730,29.9,3.9001,13.0077,12.0409
8760,29.8,3.9001,13.007,12.0397
8790,29.8,3.9002,13.0086,12.0387
8820,30.0,3.9,13.0108,12.0384
8850,30.2,3.9,13.0081,12.0377
8880,30.3,3.9,13.0081,12.0367
8910,30.4,3.9002,13.0078,12.0359
8940,30.1,3.9002,13.0083,12.033
8970,29.9,3.9001,13.0075,12.0309
9000,29.8,3.9,13.0075,12.0287
9030,29.7,3.9001,13.0051,12.0268
9060,29.8,3.9002,13.0074,12.0271
9090,30.0,3.9001,13.0073,12.0264
9120,30.1,3.9001,13.0073,12.0254
9150,30.2,3.9001,13.0071,12.0243
9180,30.5,3.9002,13.0073,12.0222
9210,30.0,3.9002,13.0076,12.0203
9240,29.9,3.9002,13.0072,12.0185
9270,29.9,3.9001,13.0127,12.0182
9300,29.8,3.9001,13.0093,12.0167
9330,29.8,3.9001,13.0093,12.0163
9360,30.1,3.9001,13.0082,12.016
9390,30.2,3.9,13.0075,12.0146
9420,30.7,3.9,13.0071,12.0144
9450,30.3,3.9001,13.0072,12.0113
9480,30.2,3.9002,13.0072,12.0088
9510,30.1,3.9,13.0112,12.0077
9540,29.9,3.9002,13.0072,12.0058
9570,30.1,3.9002,13.0074,12.0052
9600,30.4,3.9002,13.0076,12.0048
9630,30.7,3.9,13.0096,12.005
9660,30.9,3.9001,13.0075,12.0039
9690,30.7,3.9,13.0104,12.0021
9720,30.4,3.9,13.0076,11.9998
9750,30.3,3.9001,13.0105,11.9976
9780,30.2,3.9001,13.0074,11.9966
9810,30.2,3.9,13.0147,11.9959
9840,30.4,3.9001,13.0075,11.9956
9870,30.6,3.9002,13.0076,11.9952
9900,30.7,3.9002,13.0076,11.9942
9930,30.5,3.9001,13.0076,11.9927
9960,30.3,3.9001,13.0081,11.9897
9990,30.3,3.9001,13.0073,11.9872
10020,30.2,3.9,13.0035,11.9868
10050,30.1,3.9,13.0145,11.9854
10080,30.3,3.9001,13.0142,11.9851
10110,30.5,3.9001,13.0131,11.9841
10140,30.6,3.9,13.0082,11.9834
10170,30.6,3.9,13.0132,11.9816
10200,30.3,3.9002,13.0075,11.9787
10230,30.2,3.9001,13.0077,11.9768
10260,30.1,3.9001,13.0075,11.975
10290,29.9,3.9002,13.0093,11.9734
10320,29.9,3.9,13.0122,11.9734
10350,30.4,3.9,13.0077,11.9734
10380,30.7,3.9,13.0047,11.9729
10410,31.0,3.9002,13.0139,11.9714
10440,30.7,3.9,13.0081,11.9695
10470,30.4,3.9,13.0081,11.9673
10500,30.3,3.9002,13.0075,11.9662
10530,30.2,3.9001,13.0077,12.1102
10560,30.1,3.9001,13.0088,12.0874
10590,30.2,3.9002,13.0079,11.9938
10620,30.5,3.9001,13.0079,11.9772
10650,30.9,3.9002,13.009,11.9679
10680,31.1,3.9002,13.0075,11.9673
10710,30.8,3.9001,13.0055,11.9643
10740,30.5,3.9001,13.0079,11.9606
10770,30.2,3.9002,13.0132,11.9587
10800,30.1,3.9002,13.0077,11.9567
10830,30.2,3.9001,13.0082,11.9564
10860,30.5,3.9,13.0138,11.9558
10890,30.8,3.9001,13.008,11.9551
10920,31.1,3.9001,13.0083,11.9542
10950,31.0,3.9002,13.0098,11.9519
10980,30.5,3.9002,13.0082,11.9494
11010,30.3,3.9002,13.0084,11.9476
11040,30.1,3.9001,13.0047,11.9453
11070,30.0,3.9001,13.0141,11.9446
11100,30.2,3.9001,13.0081,11.9437
11130,30.6,3.9002,13.0073,11.9441
11160,31.0,3.9,13.0081,11.9435
11190,31.5,3.9002,13.0082,11.9432
11220,31.1,3.9001,13.0085,11.9401
11250,30.8,3.9001,13.0083,11.9354
11280,31.1,3.9001,13.0088,11.9504
11310,31.5,3.9001,13.0083,11.9311
11340,31.0,3.9,13.0079,11.9288
11370,30.9,3.9001,13.005,11.927
11400,30.7,3.9001,13.0074,11.9254
11430,30.7,3.9001,13.0077,11.9237
11460,30.7,3.9002,13.0075,11.9231
11490,31.0,3.9001,13.0101,11.9243
11520,31.3,3.9,13.0138,11.9237
11550,31.4,3.9,13.0073,11.923
11580,31.2,3.9001,13.0077,11.9207
11610,31.0,3.9002,13.0085,11.9184
11640,30.9,3.9001,13.0074,11.9166
11670,30.8,3.9,13.0073,11.9155
11700,30.8,3.9001,13.0082,11.9152
11730,30.8,3.9002,13.0073,11.9152
11760,31.0,3.9002,13.0073,11.9148
11790,31.1,3.9001,13.0133,11.9148
11820,31.0,3.9001,13.0075,11.9134
11850,30.8,3.9002,13.008,11.9094
11880,30.6,3.9,13.015,11.9083
11910,30.5,3.9001,13.0107,11.9065
11940,30.5,3.9001,13.0083,11.9058
11970,30.5,3.9,13.0072,11.9057
12000,30.6,3.9,13.0073,11.9047
12030,30.9,3.9001,13.008,11.904
12060,30.6,3.9,13.0096,11.9014
12090,30.7,3.9002,13.0072,11.9003
12120,30.4,3.9001,13.0077,11.8982
12150,30.2,3.9002,13.0079,11.8971
12180,30.2,3.9002,13.0081,11.8956
12210,30.0,3.9001,13.0073,11.8948
12240,30.3,3.9002,13.008,11.8949
12270,30.6,3.9001,13.0075,11.8947
12300,30.4,3.9001,13.0131,11.8909
12330,29.8,3.9001,13.0076,11.8907
12360,29.9,3.9001,13.0039,11.8877
12390,29.6,3.9,13.0074,11.8873
12420,29.5,3.9001,13.0075,11.885
12450,29.4,3.9002,13.0079,11.8836
12480,29.5,3.9002,13.0084,11.8844
12510,29.9,3.9001,13.008,11.8841
12540,30.0,3.9002,13.0132,11.8837
12570,30.2,3.9001,13.0076,11.8831
12600,30.2,3.9001,13.0079,11.8797
12630,29.8,3.9001,13.0109,11.8772
12660,29.6,3.9002,13.0129,11.8761
12690,29.5,3.9001,13.004,11.875
12720,29.4,3.9,13.0068,11.8742
12750,29.8,3.9001,13.0077,11.8746
12780,30.1,3.9001,13.0079,11.874
12810,30.3,3.9002,13.0085,11.8737
12840,30.6,3.9002,13.0077,11.8735
12870,30.1,3.9002,13.0072,11.8704
12900,30.0,3.9001,13.0079,11.8682
12930,29.9,3.9001,13.0136,11.8667
12960,29.8,3.9,13.0076,11.8658
12990,30.0,3.9001,13.0078,11.8658
13020,30.2,3.9001,13.0045,11.8651
13050,30.4,3.9002,13.008,11.8645
13080,30.7,3.9002,13.0123,11.8647
13110,30.7,3.9002,13.0073,11.8625
13140,30.4,3.9001,13.0074,11.8603
13170,30.3,3.9002,13.0078,11.8591
13200,30.2,3.9002,13.0073,11.8573
13230,30.1,3.9001,13.0079,11.8562
13260,30.2,3.9,13.0083,11.8556
13290,30.4,3.9001,13.008,11.8545
13320,30.8,3.9,13.0132,11.8546
13350,31.2,3.9001,13.0033,11.8539
13380,30.7,3.9001,13.0116,11.8519
13410,30.6,3.9001,13.0076,11.8504
13440,30.5,3.9,13.0081,11.8486
13470,30.4,3.9002,13.0073,11.8482
13500,30.4,3.9002,13.0114,11.8482
13530,30.5,3.9002,13.0084,11.8479
13560,30.7,3.9001,13.0084,11.847
13590,30.7,3.9,13.0147,11.8436
13620,30.1,3.9001,13.0083,11.8411
13650,30.0,3.9001,13.0079,11.8392
13680,29.9,3.9001,13.0109,11.8385
13710,29.8,3.9001,13.0049,11.8366
13740,29.7,3.9002,13.0075,11.8362
13770,30.0,3.9001,13.0081,11.837
13800,30.5,3.9002,13.0111,11.836
13830,30.4,3.9,13.0079,11.836
13860,30.2,3.9001,13.0075,11.8334
13890,30.1,3.9001,13.008,11.8305
13920,29.8,3.9001,13.0078,11.8294
13950,29.7,3.9002,13.0133,11.8283
13980,29.6,3.9001,13.0082,11.8266
14010,29.8,3.9001,13.0138,11.8274
14040,29.9,3.9,13.0134,11.827
14070,30.1,3.9001,13.008,11.8271
14100,30.5,3.9002,13.0076,11.8266
14130,30.3,3.9001,13.0083,11.8243
14160,30.0,3.9,13.0076,11.8224
14190,29.9,3.9002,13.0074,11.8213
14220,29.8,3.9001,13.0075,11.8202
14250,29.8,3.9002,13.0077,11.8191
14280,30.0,3.9001,13.0077,11.8191
14310,30.3,3.9001,13.0101,11.8185
14340,30.3,3.9,13.0078,11.8182
14370,30.3,3.9001,13.0046,11.8167
14400,30.1,3.9002,13.0079,11.8141
14430,29.9,3.9001,13.0096,11.8119
14460,29.7,3.9002,13.0079,11.8101
14490,29.5,3.9002,13.0079,11.809
14520,29.6,3.9001,13.0105,11.81
14550,29.9,3.9001,13.008,11.8091
14580,30.2,3.9002,13.008,11.8087
14610,30.2,3.9,13.0079,11.8084
14640,30.2,3.9002,13.008,11.8064
14670,29.9,3.9001,13.0079,11.8037
14700,29.7,3.9,13.0054,11.8026
14730,29.7,3.9,13.0079,11.8009
14760,29.6,3.9002,13.008,11.8006
14790,29.9,3.9002,13.0081,11.8013
14820,30.1,3.9,13.008,11.8013
14850,30.3,3.9002,13.0129,11.7996
14880,30.5,3.9002,13.0081,11.7992
14910,30.0,3.9001,13.0079,11.798
14940,29.9,3.9001,13.0079,11.7959
14970,29.8,3.9001,13.0115,11.7954
15000,29.7,3.9,13.008,11.794
15030,29.7,3.9001,13.0051,11.7936
15060,30.1,3.9001,13.0099,11.7937
15090,30.5,3.9001,13.008,11.7926
15120,30.0,3.9002,13.0081,11.791
15150,29.5,3.9001,13.0081,11.7846
15180,29.3,3.9003,13.0086,11.7836
15210,29.1,3.9,13.0078,11.7818
15240,28.9,3.9001,13.0131,11.7796
15270,28.7,3.9002,13.0078,11.7793
15300,28.9,3.9001,13.0091,11.7789
15330,28.8,3.9002,13.008,11.7756
15360,28.6,3.9001,13.0045,11.7756
15390,28.6,3.9001,13.0085,11.7745
15420,28.4,3.9002,13.0079,11.7723
15450,28.4,3.9,13.008,11.773
15480,28.4,3.9,13.0147,11.7712
15510,28.2,3.9002,13.0077,11.769
15540,28.3,3.9001,13.0081,11.7683
15570,28.3,3.9002,13.0079,11.7683
15600,28.5,3.9001,13.0079,11.7665
15630,28.0,3.9003,13.0086,11.7658
15660,28.0,3.9001,13.0076,11.7648
15690,27.8,3.9001,13.0044,11.7633
15720,27.7,3.9003,13.013,11.765
15750,27.5,3.9,13.0131,11.7902
15780,27.4,3.9003,13.0082,11.7833
15810,27.5,3.9001,13.0082,11.796
15840,27.9,3.9002,13.008,11.7922
15870,28.3,3.9001,13.0082,11.8106
15900,28.2,3.9001,13.0133,11.7701
15930,27.7,3.9003,13.0142,11.7592
15960,27.6,3.9001,13.0105,11.7549
15990,27.6,3.9002,13.0083,11.7531
16020,27.5,3.9001,13.0047,11.752
16050,27.4,3.9001,13.0084,11.752
16080,27.8,3.9001,13.0082,11.752
16110,28.0,3.9002,13.0084,11.7507
16140,28.2,3.9001,13.0082,11.749
16170,28.4,3.9001,13.0138,11.7492
16200,27.7,3.9001,13.0082,11.7451
16230,27.6,3.9002,13.0082,11.7444
16260,27.5,3.9001,13.0082,11.7436
16290,27.5,3.9003,13.0082,11.7434
16320,27.8,3.9003,13.0082,11.7434
16350,28.0,3.9,13.004,11.7426
16380,28.2,3.9001,13.0131,11.7419
16410,28.4,3.9,13.0083,11.7417
16440,28.2,3.9002,13.0113,11.7379
16470,27.9,3.9002,13.0083,11.7372
16500,27.9,3.9,13.008,11.7358
16530,28.0,3.9001,13.008,11.8575
16560,28.0,3.9,13.008,11.7398
16590,28.3,3.9001,13.0099,11.7991
16620,28.7,3.9001,13.008,11.742
16650,28.8,3.9002,13.0081,11.7369
16680,28.2,3.9001,13.0035,11.7339
16710,28.0,3.9001,13.0039,11.7321
16740,28.0,3.9002,13.0081,11.7314
16770,28.0,3.9002,13.0082,11.73
16800,28.0,3.9004,13.0082,11.7289
16830,28.1,3.9001,13.0083,11.7292
16860,28.3,3.9,13.0081,11.7292
16890,28.6,3.9001,13.0081,11.7283
16920,28.8,3.9,13.0102,11.7269
16950,28.6,3.9002,13.0132,11.7257
16980,28.5,3.9001,13.008,11.7235
