Cycle,Tem,电压(V),电流(A),放电容量(Ah)
9420,30.0,3.65,13.0071,12.6301
9450,30.3,3.65,13.0109,12.6297
9480,30.7,3.65,13.0079,12.6287
9510,31.0,3.6501,13.0146,12.6269
9540,30.7,3.6501,13.0067,12.6243
9570,30.4,3.65,13.0066,12.6214
9600,30.3,3.6501,13.0103,12.6196
9630,30.2,3.65,13.0064,12.6177
9660,30.1,3.6501,13.0065,12.617
9690,30.4,3.6502,13.0018,12.6155
9720,30.7,3.65,13.0069,12.6149
9750,31.0,3.65,13.0066,12.6135
9780,31.0,3.6501,13.0066,12.6114
9810,30.6,3.6501,13.0082,12.6085
9840,30.4,3.65,13.0076,12.6061
9870,30.1,3.6501,13.0083,12.6046
9900,30.2,3.6501,13.0069,12.6039
9930,30.5,3.6501,13.0063,12.6025
9960,30.7,3.65,13.0094,12.6015
9990,31.1,3.6501,13.012,12.6004
10020,30.7,3.6501,13.0012,12.5982
10050,30.4,3.6501,13.0013,12.5949
10080,30.2,3.65,13.0064,12.593
10110,30.1,3.65,13.0062,12.5912
10140,30.2,3.6501,13.0069,12.6025
10170,30.5,3.65,13.0101,12.591
10200,31.0,3.65,13.0088,12.5888
10230,31.4,3.6501,13.0124,12.5879
10260,31.1,3.65,13.0148,12.586
10290,30.8,3.65,13.0097,12.5564
10320,31.2,3.65,13.0081,12.568
10350,31.3,3.65,13.0084,12.5712
10380,31.0,3.6502,13.0068,12.5715
10410,30.8,3.6501,13.0145,12.5708
10440,30.7,3.65,13.0067,12.5699
10470,30.7,3.65,13.0127,12.5699
10500,31.0,3.65,13.0069,12.5696
10530,31.4,3.65,13.0081,12.5686
10560,31.4,3.65,13.0075,12.5672
10590,31.1,3.6501,13.0096,12.5925
10620,30.9,3.65,13.0074,12.5741
10650,30.9,3.65,13.0075,12.5626
10680,30.7,3.6501,13.0077,12.5611
10710,30.7,3.6501,13.0038,12.5601
10740,30.9,3.65,13.0075,12.5593
10770,31.1,3.65,13.0076,12.5575
10800,31.1,3.65,13.008,12.5676
10830,30.9,3.65,13.0077,12.554
10860,30.7,3.6501,13.0085,12.5544
10890,30.5,3.65,13.0121,12.5514
10920,30.5,3.65,13.0075,12.5507
10950,30.5,3.65,13.0078,12.549
10980,30.7,3.65,13.0087,12.5459
11010,30.9,3.65,13.0096,12.5441
11040,30.5,3.6501,13.0028,12.542
11070,30.5,3.6501,13.0112,12.5402
11100,30.2,3.6501,13.0076,12.5383
11130,30.2,3.6501,13.01,12.5365
11160,30.1,3.65,13.0125,12.5346
11190,30.3,3.6501,13.0149,12.5344
11220,30.5,3.65,13.0075,12.5333
11250,30.4,3.6501,13.0075,12.5295
11280,29.8,3.65,13.0075,12.5289
11310,29.8,3.6501,13.0075,12.5267
11340,29.6,3.65,13.0074,12.5246
11370,29.5,3.6502,13.0023,12.5231
11400,29.4,3.6501,13.0076,12.5213
11430,29.6,3.6501,13.0074,12.521
11460,30.1,3.65,13.0093,12.5199
11490,30.1,3.6501,13.0074,12.5185
11520,30.3,3.65,13.0077,12.5171
11550,29.9,3.65,13.0085,12.5142
11580,29.7,3.6501,13.0077,12.512
11610,29.5,3.65,13.0088,12.5105
11640,29.4,3.65,13.0074,12.5091
11670,29.8,3.65,13.0106,12.5087
11700,30.1,3.6501,13.0031,12.5072
11730,30.3,3.6501,13.0116,12.5062
11760,30.6,3.6501,13.008,12.5098
11790,30.1,3.6501,13.0065,12.5014
11820,29.9,3.65,13.0124,12.5071
11850,29.8,3.6501,13.0124,12.5092
11880,29.8,3.6501,13.0078,12.5103
11910,30.2,3.65,13.0123,12.5071
11940,30.3,3.6501,13.0084,12.5048
11970,30.7,3.65,13.0148,12.4989
12000,30.7,3.65,13.0112,12.4934
12030,30.4,3.6502,13.0013,12.4945
12060,30.3,3.65,13.0116,12.4931
12090,30.2,3.65,13.0121,12.4926
12120,30.2,3.6501,13.0105,12.4883
12150,30.4,3.65,13.0092,12.4846
12180,30.7,3.6501,13.0097,12.4839
12210,31.0,3.65,13.0082,12.5027
12240,30.9,3.6501,13.0086,12.4802
12270,30.6,3.65,13.0087,12.4777
12300,30.5,3.65,13.0087,12.4762
12330,30.4,3.6501,13.0082,12.474
12360,30.4,3.6501,13.0031,12.4733
12390,30.5,3.65,13.0087,12.478
12420,30.8,3.6501,13.0086,12.4712
12450,30.4,3.6501,13.01,12.4674
